date,campaign_id,campaign_name,search_term,impressions,clicks,cost,orders,sales
2025-11-08,SBV - All Products - Category Defense,SBV - All Products - Category Defense,zzen focus,3,1,1.34,0,0.0
2025-11-09,SBV - All Products - Category Defense,SBV - All Products - Category Defense,zzen focus,2,1,1.4,0,0.0
2025-11-11,SBV - All Products - Category Defense,SBV - All Products - Category Defense,zzen focus,2,1,1.37,0,0.0
2025-11-18,SBV - All Products - Category Defense,SBV - All Products - Category Defense,aceworkz,9,1,1.95,0,0.0
2025-11-20,SBV - All Products - Category Defense,SBV - All Products - Category Defense,zzen focus,2,1,1.29,0,0.0
2025-11-23,SBV - All Products - Category Defense,SBV - All Products - Category Defense,aceworkz saffron,1,1,2.03,0,0.0
2025-11-23,SBV - All Products - Category Defense,SBV - All Products - Category Defense,best berberine to lose weight,4,1,1.35,0,0.0
2025-11-28,SBV - All Products - Category Defense,SBV - All Products - Category Defense,orlistat weight loss pills,2,1,1.25,0,0.0
2025-12-01,SBV - All Products - Category Defense,SBV - All Products - Category Defense,kill cravings,1,1,1.89,0,0.0
2025-12-02,SBV - All Products - Category Defense,SBV - All Products - Category Defense,ephedra pills for weight loss,2,1,1.71,0,0.0
2025-12-03,SBV - All Products - Category Defense,SBV - All Products - Category Defense,zzen focus,4,1,1.1,0,0.0
2025-12-06,SBV - All Products - Category Defense,SBV - All Products - Category Defense,hydroxycut weight loss,1,1,1.5,0,0.0
2025-12-07,SBV - All Products - Category Defense,SBV - All Products - Category Defense,aceworkz,1,1,1.2,0,0.0
2025-12-11,SBV - All Products - Category Defense,SBV - All Products - Category Defense,elite brain,1,1,0.27,0,0.0
2025-12-11,SBV - All Products - Category Defense,SBV - All Products - Category Defense,thermogenic caffeine free,1,1,1.01,0,0.0
2025-12-13,SBV - All Products - Category Defense,SBV - All Products - Category Defense,aceworkz,4,1,1.48,0,0.0
2025-12-15,SBV - All Products - Category Defense,SBV - All Products - Category Defense,alpha core,1,1,1.4,0,0.0
2025-12-17,SBV - All Products - Category Defense,SBV - All Products - Category Defense,ghcku copper peptides supplement,1,1,1.45,0,0.0
2025-12-28,SBV - All Products - Category Defense,SBV - All Products - Category Defense,mens brain health supplement,1,1,1.39,0,0.0
2025-12-29,SBV - All Products - Category Defense,SBV - All Products - Category Defense,aceworkz,7,1,0.96,0,0.0
2025-12-30,SBV - All Products - Category Defense,SBV - All Products - Category Defense,urolithin a supplement,1,1,1.37,0,0.0
2026-01-06,SBV - All Products - Category Defense,SBV - All Products - Category Defense,caffeine free pills,1,1,0.98,0,0.0
