date,campaign_id,campaign_name,target,match_type,targeting_type,impressions,clicks,cost,orders,sales
2025-11-08,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,3,1,1.34,0,0.0
2025-11-09,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,2,1,1.4,0,0.0
2025-11-11,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,2,1,1.37,0,0.0
2025-11-18,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,9,1,1.95,0,0.0
2025-11-20,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,2,1,1.29,0,0.0
2025-11-23,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,5,2,3.38,0,0.0
2025-11-28,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,2,1,1.25,0,0.0
2025-12-01,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,1,1,1.89,0,0.0
2025-12-02,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,2,1,1.71,0,0.0
2025-12-03,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,4,1,1.1,0,0.0
2025-12-06,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,1,1,1.5,0,0.0
2025-12-07,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,1,1,1.2,0,0.0
2025-12-11,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,2,2,1.28,0,0.0
2025-12-13,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,4,1,1.48,0,0.0
2025-12-15,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,1,1,1.4,0,0.0
2025-12-17,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,1,1,1.45,0,0.0
2025-12-28,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,1,1,1.39,0,0.0
2025-12-29,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,7,1,0.96,0,0.0
2025-12-30,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,1,1,1.37,0,0.0
2026-01-06,SBV - All Products - Category Defense,SBV - All Products - Category Defense,"category=""Vitamins, Minerals & Supplements""",-,unknown,1,1,0.98,0,0.0
