date,impressions,clicks,cost,orders,sales,cost_spike,sales_spike,roas_spike,acos_spike
2025-10-11,20179,146,350.8,19,470.79,False,False,False,False
2025-10-12,17461,137,347.41,17,388.83,False,False,False,False
2025-10-13,16879,142,353.45,26,601.74,False,False,False,False
2025-10-14,19667,145,348.21000000000004,21,542.77,False,False,False,False
2025-10-15,21290,153,354.82,27,726.71,False,False,False,False
2025-10-16,20949,143,343.2,20,523.8,False,False,False,False
2025-10-17,25251,155,357.75,18,445.82,False,False,False,False
2025-10-18,30169,165,342.52,15,356.84999999999997,False,False,False,False
2025-10-19,24804,158,343.79,15,396.85,False,False,False,False
2025-10-20,31492,161,346.39,16,422.83,False,False,False,False
2025-10-21,33633,169,348.37,20,558.79,False,False,False,False
2025-10-22,28873,163,352.23,22,589.78,False,False,False,False
2025-10-23,43841,218,449.17,16,480.83,True,False,False,False
2025-10-24,35513,207,454.39,28,704.71,True,False,False,False
2025-10-25,39932,204,445.77,18,475.82,False,False,False,False
2025-10-26,39335,211,450.18,32,868.67,False,False,False,False
2025-10-27,35622,206,450.71,18,443.82,False,False,False,False
2025-10-28,30017,181,443.39,19,501.8,False,False,False,False
2025-10-29,31786,206,429.0,19,502.81,False,False,False,False
2025-10-30,28923,166,320.76,21,568.79,False,False,False,False
2025-10-31,24822,147,330.93,22,583.78,False,False,False,False
2025-11-01,30090,167,347.27,16,430.83,False,False,False,False
2025-11-02,39376,226,456.09999999999997,26,611.74,False,False,False,False
2025-11-03,37453,217,469.61,30,787.9,False,False,False,False
2025-11-04,40284,255,531.92,29,726.71,False,False,False,False
2025-11-05,34009,220,454.33,26,641.74,False,False,False,False
2025-11-06,33857,212,446.64,37,938.59,False,False,False,False
2025-11-07,31340,207,451.08,20,511.78,False,False,False,False
2025-11-08,31712,209,444.37,22,543.78,False,False,False,False
2025-11-09,32403,211,444.93,23,575.76,False,False,False,False
2025-11-10,27631,222,444.5,31,816.67,False,False,False,False
2025-11-11,28543,217,448.02,28,705.72,False,False,False,False
2025-11-12,28081,217,457.95,26,637.74,False,False,False,False
2025-11-13,28135,193,420.12,26,691.73,False,False,False,False
2025-11-14,24884,191,400.6,25,596.75,False,False,False,False
2025-11-15,29364,185,406.82,15,393.65,False,False,False,False
2025-11-16,38668,236,504.82,26,647.14,False,False,False,False
2025-11-17,36603,245,512.64,29,713.71,False,False,False,False
2025-11-18,39468,257,548.1,30,767.48,False,False,False,False
2025-11-19,39323,351,697.07,62,1380.35,True,True,False,False
2025-11-20,40209,337,698.67,53,1149.84,False,False,False,False
2025-11-21,30803,238,563.4499999999999,36,727.62,False,False,False,False
2025-11-22,35105,245,592.76,40,822.8,False,False,False,False
2025-11-23,36692,254,547.1,31,659.26,False,False,False,False
2025-11-24,33738,253,542.52,43,968.91,False,False,False,False
2025-11-25,34259,199,424.55,26,518.81,False,False,False,False
2025-11-26,27874,156,322.6,17,331.87,False,False,False,False
2025-11-27,27880,177,387.08,23,440.76,False,False,False,False
2025-11-28,39097,232,417.92,32,650.89,False,False,False,False
2025-11-29,40550,284,500.45,37,719.9,False,False,False,False
2025-11-30,36292,281,502.76,37,789.0799999999999,False,False,False,False
2025-12-01,40798,283,508.44,45,909.5799999999999,False,False,False,False
2025-12-02,34690,261,501.03000000000003,33,828.67,False,False,False,False
2025-12-03,35434,270,496.44,29,758.52,False,False,False,False
2025-12-04,33147,222,397.48,37,994.25,False,False,True,False
2025-12-05,30628,197,342.02,21,478.78999999999996,False,False,False,False
2025-12-06,32026,219,394.32,25,642.75,False,False,False,False
2025-12-07,35422,238,431.72,25,749.72,False,False,False,False
2025-12-08,29950,214,376.45,26,700.73,False,False,False,False
2025-12-09,25057,169,305.21999999999997,16,455.82,False,False,False,False
2025-12-10,23971,166,302.17,22,595.76,False,False,False,False
2025-12-11,22802,174,297.98,28,683.71,False,False,False,False
2025-12-12,21003,150,268.99,22,626.75,False,False,False,False
2025-12-13,22827,158,302.45,20,514.78,False,False,False,False
2025-12-14,28034,185,329.24,26,681.71,False,False,False,False
2025-12-15,24194,156,282.65,15,346.84999999999997,False,False,False,False
2025-12-16,21047,156,273.78,17,439.84,False,False,False,False
2025-12-17,18123,161,345.73,21,505.78999999999996,False,False,False,False
2025-12-18,16370,126,298.15999999999997,17,397.84000000000003,False,False,False,False
2025-12-19,16535,131,297.69,22,514.78,False,False,False,False
2025-12-20,17752,128,299.89,14,329.86,False,False,False,False
2025-12-21,14672,129,300.65,19,475.79,False,False,False,False
2025-12-22,18682,127,299.63,21,552.77,False,False,False,False
2025-12-23,17197,114,245.1,7,185.93,False,False,False,True
2025-12-24,17555,105,216.49,12,323.88,False,False,False,False
2025-12-25,19788,112,256.3,12,308.88,False,False,False,False
2025-12-26,24088,185,377.12,18,489.82,False,False,False,False
2025-12-27,19475,167,373.01,13,303.87,False,False,False,False
2025-12-28,17825,147,330.16,28,686.72,False,False,False,False
2025-12-29,17627,132,297.33,14,407.84999999999997,False,False,False,False
2025-12-30,18110,141,309.4,19,499.78999999999996,False,False,False,False
2025-12-31,12755,133,297.01,14,392.85,False,False,False,False
2026-01-01,23359,159,303.29,17,417.84000000000003,False,False,False,False
2026-01-02,13594,151,298.56,24,691.75,False,False,False,False
2026-01-03,15464,136,303.71,17,429.83,False,False,False,False
2026-01-04,10263,109,296.95,21,575.77,False,False,False,False
2026-01-05,14789,124,301.89,11,296.89,False,False,False,False
2026-01-06,15171,115,298.24,10,277.91,False,False,False,False
