cluster_id,cluster_keywords,initiative_count
12,"partners, university, business, business partners, industry, 2024",43
2,"governance, management, report, social, development, environmental",42
6,"energy, scenario, carbon, climate, green, emissions",41
16,"china, 2024, award, technology, innovation, honor",39
5,"bank, china, finance, 2024, insurance, risk",36
4,"esg, 2024, governance, report, management, corporate",35
3,"global, global compact, compact, 2024, united nations, nations",33
8,"management, compliance, government, business, security, ethics",31
1,"digital, ai, industry, business, 2024, partners",29
19,"ping, foundation, education, youth, sports, school",28
13,"sustainability, 2024, company, stock exchange, materiality, government",27
18,"foundation, 2024, 2021, collaboration, foundation vii, ecological",22
0,"suppliers, supplier, code, business partners, partners, business",20
17,"tcl, foundation, charity, 2024, tcl charity, charity foundation",20
15,"quality, industry, customer, business, standards, business partners",16
7,"training, program, university, staff, employees, remuneration",16
9,"huayou, cobalt, huayou cobalt, sustainability, report huayou, friends",9
11,"medical, relief, hospital, healthcare, west china, china hospital",6
10,"mengniu, meituan, instant, order, launched, brand",4
14,"dqg, wkh, wr, ri, right, lqmldqj",4
