report_id,E_score,S_score,G_score,collaboration_intensity,gov_interaction_score,ngo_interaction_score,society_interaction_score,business_partner_interaction_score,evidence_density,quant_metrics_count
CN001,2,1,1,3,0,2,0,2,3,3
CN002,2,1,1,3,2,3,2,1,3,1
CN003,2,1,1,3,1,2,0,2,3,1
CN004,1,1,1,2,0,0,0,3,3,0
CN005,2,1,1,3,1,1,0,3,3,3
CN006,2,1,2,3,1,1,0,3,3,4
CN007,3,1,1,3,1,2,0,3,3,2
CN008,1,1,1,3,2,1,0,3,3,0
CN009,1,1,2,3,2,0,0,3,3,1
CN010,2,1,1,3,1,1,0,2,3,1
CN011,2,1,2,3,2,1,1,3,3,6
CN012,1,1,1,3,2,1,0,2,2,0
CN013,1,1,1,3,2,2,0,2,3,0
CN014,2,1,1,3,3,0,1,2,3,1
CN015,1,1,1,3,2,1,0,2,3,0
CN016,0,0,0,0,0,0,0,0,0,0
CN017,1,1,1,3,2,3,1,2,2,0
CN018,2,1,1,3,0,2,0,3,3,1
CN019,0,0,0,0,0,0,0,0,0,0
CN020,1,1,1,3,1,1,0,3,3,0
CN021,1,1,1,3,2,0,0,2,3,0
CN022,1,1,1,3,1,1,0,3,3,0
CN023,3,1,1,3,1,0,0,1,3,4
CN024,2,1,1,3,2,3,0,2,3,1
CN025,2,1,1,3,0,3,0,2,3,3
CN026,1,1,1,3,2,3,0,3,3,0
CN027,2,1,1,3,0,3,0,2,3,1
CN028,1,1,1,3,0,1,0,3,3,0
CN029,2,1,1,3,2,0,0,3,3,1
CN030,2,1,1,3,1,2,0,2,3,5
CN031,1,1,1,3,3,0,2,3,3,0
CN032,1,1,1,3,2,0,0,2,3,0
CN033,1,1,1,3,1,0,0,3,3,0
CN034,1,1,1,3,0,1,0,3,3,0
CN035,1,1,1,2,0,0,0,3,3,0
CN036,3,1,1,3,2,2,0,2,3,4
CN037,1,1,1,3,0,1,0,3,3,0
CN038,2,1,1,2,0,3,0,0,3,1
CN039,1,1,1,3,2,1,0,3,3,0
CN040,1,2,1,3,2,2,0,2,3,2
CN041,1,1,1,3,2,1,0,2,3,0
CN042,1,1,1,3,0,2,0,3,3,0
CN043,3,1,1,3,2,1,0,3,3,2
CN044,3,1,1,3,2,2,0,1,3,5
CN045,1,1,1,3,1,2,0,2,3,0
CN046,1,1,1,3,1,2,0,3,3,0
CN047,2,1,1,3,1,0,0,3,3,1
CN048,1,1,1,3,0,1,0,2,3,0
CN049,1,1,1,3,1,0,0,2,3,0
CN050,1,1,1,3,1,2,0,3,3,0
CN051,1,1,1,3,1,3,0,2,3,0
CN052,0,0,0,0,0,0,0,0,0,0
CN053,2,1,1,3,2,0,0,2,3,1
CN054,1,2,1,3,2,2,2,3,3,1
CN055,1,1,1,3,0,3,0,2,3,0
CN056,1,3,1,3,1,1,0,1,3,4
CN057,2,1,1,3,1,3,0,3,3,2
CN058,1,2,1,3,2,2,0,3,3,1
CN059,2,1,1,3,1,1,0,2,3,5
CN060,3,1,1,3,0,1,0,3,3,3
CN061,1,1,1,3,1,1,0,3,3,0
CN062,3,1,1,3,1,2,0,3,3,2
CN063,1,1,1,3,1,0,0,3,3,0
CN064,1,1,1,3,0,3,0,2,3,0
CN065,1,1,1,3,2,3,1,3,3,0
CN066,2,1,1,3,2,0,0,3,3,1
CN067,1,1,1,3,1,3,0,2,3,0
CN068,2,1,1,3,2,2,0,3,2,1
CN069,1,1,1,3,2,2,0,2,3,0
CN070,1,1,1,3,0,3,0,1,3,0
CN071,2,1,1,3,1,3,0,0,3,1
CN072,1,1,1,3,1,2,0,2,3,0
CN073,1,1,1,3,1,2,0,2,3,0
